NODEID,crash_count,total_killed,total_injured,severity_score,severity_score_norm,intersection_name,latitude,longitude
38818,430,0.0,145.0,177.30766835056852,0.354596547847247,NORTH CONDUIT AVENUE & SPRINGFIELD BOULEVARD,40.66645115657081,-73.75763129629583
32545,407,2.0,190.0,177.09369661265822,0.35416858834554904,ATLANTIC AVENUE & LIRR ATLANTIC LINE & WOODHAVEN BOULEVARD,40.688150446343315,-73.84883193627094
47802,267,0.0,155.0,175.8653185628836,0.3517117402439618,CONCOURSE LINE & EAST TREMONT AVENUE & GRAND CONCOURSE,40.84945302080567,-73.90600085704628
34796,317,0.0,108.0,175.59321250026116,0.3511675077387433,HILLSIDE AVENUE & VAN WYCK EXPRESSWAY,40.70402980034275,-73.81709738770842
52389,123,0.0,63.0,175.02185466221542,0.3500247492695674,CROSS BRONX EP NB EN HARROD AV & CROSS BRONX EXPRESSWAY & ROSEDALE AVENUE,40.83596847302797,-73.86999247880466
30221,363,0.0,170.0,174.01046613654978,0.3480018964680991,CYPRESS AVENUE & VERMONT PLACE,40.69143619469252,-73.8906247212655
18773,351,1.0,179.0,173.77787535181633,0.34753669747824095,EASTERN PARKWAY & EASTERN PARKWAY LINE & WASHINGTON AVENUE,40.6716222451233,-73.96257123155107
42941,416,2.0,169.0,173.64207343906247,0.3472650834815545,EAST 149 STREET & MORRIS AVENUE & WHITE PLAINS ROAD LINE,40.81738828466564,-73.92275882269371
42307,502,0.0,157.0,173.600758793945,0.3471824510969696,31 STREET & ASTORIA BOULEVARD NORTH & ASTORIA LINE & HOYT AVENUE NORTH,40.77077252732942,-73.91725912508149
26354,358,1.0,214.0,172.86719162127093,0.34571526180951717,2000 CB BOUNDARY & CHURCH AVENUE & KINGS HIGHWAY,40.65246345860052,-73.92284966955602
36806,510,0.0,145.0,172.66950007171621,0.3453198639038704,FARMERS BOULEVARD & SOUTH CONDUIT AVENUE,40.66669583438527,-73.76712954224612
42649,246,1.0,145.0,172.50840727778427,0.3449976662506124,1 AVENUE & EAST 125 STREET & FDR DRIVE ENTRANCE SOUTHBOUND & WILLIS AVENUE BRIDGE & WILLIS AVENUE BRIDGE BIKE PATH,40.80175450216375,-73.93120156171308
43206,191,1.0,140.0,172.2981318597826,0.34457709966557554,EAST 161 STREET & MELROSE AVENUE,40.82418798981334,-73.91384000340324
20860,336,0.0,146.0,172.23289021752026,0.3444466114946366,CLINTON STREET & DELANCEY STREET & NASSAU STREET LINE & WILLIAMSBURG BR BIKE AND PED PTH & WILLIAMSBURG BRIDGE,40.71772367593658,-73.98576634166828
105696,388,0.0,175.0,172.21600792132426,0.34441284563780844,ATLANTIC AVENUE & LIRR ATLANTIC LINE & UNDERHILL AVENUE & WASHINGTON AVENUE,40.681119078440695,-73.96442177079909
85036,171,0.0,110.0,171.50563047659944,0.3429920375430995,MAJOR DEEGAN EXPRESSWAY & WEST 230 STREET,40.876455255179025,-73.90442604140361
17369,395,0.0,169.0,171.20764968774122,0.3423960536474656,AVENUE I & OCEAN PARKWAY,40.62656998553638,-73.97092126349163
42469,405,1.0,166.0,170.8735806526714,0.3417278905565011,FREDERICK DOUGLASS BOULEVARD & WEST 145 STREET,40.822837498867806,-73.94191717601866
12776,391,0.0,126.0,170.26397192167332,0.340508627436537,BAY PARKWAY & CROPSEY AVENUE,40.59726856164176,-73.99865586669416
36537,376,1.0,131.0,169.85181528694255,0.3396842832977105,NORTH CONDUIT AVENUE & ROCKAWAY BOULEVARD,40.667523310075374,-73.78062532415572
65073,229,0.0,130.0,169.68669129514564,0.3393540229467972,MOSHOLU PARKWAY & PEDESTRIAN AND BIKE PATH LINK & SOUTHERN BOULEVARD,40.86804003998038,-73.87909532088882
18959,416,0.0,191.0,169.53795855716297,0.3390565463311709,EASTERN PARKWAY & EASTERN PARKWAY LINE & NOSTRAND AVENUE,40.669865351934526,-73.95050227512725
18744,487,0.0,190.0,168.86728971650584,0.33771515841865934,ATLANTIC AVENUE & LIRR ATLANTIC LINE & VANDERBILT AVENUE,40.681768783451695,-73.96753196763888
20585,757,0.0,139.0,168.09697666805258,0.33617447462748645,BOWERY & DELANCEY STREET & KENMARE STREET & NASSAU STREET LINE,40.720320979310095,-73.9940415527356
24276,454,3.0,199.0,167.71017073894578,0.33540083379860397,LENOX AVENUE & LENOX AVENUE LINE & WEST 125 STREET,40.807772627423866,-73.94548195226149
17372,338,0.0,144.0,167.69599003588073,0.33537247133037934,FOSTER AVENUE & OCEAN PARKWAY,40.62998801569937,-73.9715680275189
31823,250,0.0,128.0,167.67653991037037,0.3353335696225993,CROSS BAY BOULEVARD & NORTH CONDUIT AVENUE,40.66928855674753,-73.84243585476469
24215,379,0.0,185.0,166.6716852706112,0.3333237850823135,ADAM CLAYTON POWELL JR BOULEVARD & WEST 125 STREET,40.80897227445277,-73.94832657221569
43069,343,1.0,167.0,166.57401925172695,0.33312844572963674,3 AVENUE & EAST 149 STREET & WHITE PLAINS ROAD LINE,40.81606591710233,-73.91764502936333
20770,535,0.0,145.0,166.30460301256562,0.33258959307280056,DELANCEY STREET & ESSEX STREET & HOUSTON/ESSEX STREET LINE & NASSAU STREET LINE,40.71855567933907,-73.98820173631997
41179,168,1.0,104.0,164.85184490985847,0.32968396805991756,54 AVENUE & 58 STREET & LONG ISLAND EXPRESSWAY,40.72996412310947,-73.91173061765873
29318,401,0.0,141.0,164.53262241525556,0.3290454991618507,FULTON STREET & FULTON STREET LINE & JAMAICA LINE & PENNSYLVANIA AVENUE,40.677206166760556,-73.8972416962567
82080,370,1.0,148.0,164.22111131694672,0.32842245363393374,CROSS ISLAND PARKWAY & LONG ISLAND EXPRESSWAY,40.75376571236034,-73.74436822665675
99881,347,2.0,135.0,163.62855900693756,0.3272373046334251,VAN WYCK EXPRESSWAY,40.7031504335038,-73.81679840832841
26412,277,0.0,158.0,163.4770564202546,0.3269342881129444,CLARENDON ROAD & DITMAS AVENUE & RALPH AVENUE,40.645032376561296,-73.91997852264257
84937,141,0.0,126.0,163.32779430507907,0.32663575270328354,BRUCKNER EXPRESSWAY & EAST TREMONT AVENUE,40.833178122860424,-73.82830296060318
42452,323,1.0,155.0,163.08564551201277,0.32615143698089194,LENOX AVENUE & LENOX AVENUE LINE & WEST 135 STREET,40.81410594189243,-73.94085555190495
55647,478,4.0,142.0,162.52195088424224,0.32502400550621924,NORTHERN BOULEVARD & PARSONS BOULEVARD,40.764651790526905,-73.82348245154587
29480,322,1.0,187.0,162.39428223970722,0.3247686586551292,LINDEN BOULEVARD & VAN SICLEN AVENUE,40.66065578286269,-73.88578677102643
22814,959,1.0,133.0,162.228454010429,0.3244369897765079,2 AVENUE & 2 AVENUE LINE & EAST 59 STREET & ED KOCH QBORO BRG LOWER LVL EN,40.760599230690524,-73.9643135359207
7571,287,0.0,133.0,161.94932325300243,0.32387870735555135,HYLAN BOULEVARD & MIDLAND AVENUE,40.57794424558058,-74.10231607335747
47961,298,0.0,118.0,161.82637172726783,0.32363279509536097,3 AVENUE & CROSS BRONX EXPRESSWAY,40.84399724804696,-73.89751786901587
47975,320,0.0,155.0,161.68114730141147,0.32334233536674994,3 AVENUE & EAST TREMONT AVENUE,40.84665832060432,-73.8961771308695
26301,160,0.0,116.0,161.61213849558425,0.3232043125865313,2010 CB BOUNDARY & EAST 54 STREET & REMSEN AVENUE & WINTHROP STREET,40.65933756359157,-73.92725505331235
18688,45,0.0,50.0,160.85999106015856,0.3216999613819666,EASTERN PARKWAY LINE & FLATBUSH AVENUE & GRAND ARMY PLAZA,40.67485465920168,-73.97078154364429
43961,240,0.0,176.0,160.44483650122635,0.3208696211702011,CONCOURSE LINE & EAST 165 STREET & GRAND CONCOURSE,40.83091259408457,-73.92046219372429
42527,406,0.0,167.0,159.89979642473295,0.3197795001952558,ADAM CLAYTON POWELL JR BOULEVARD & WEST 145 STREET,40.82163739184822,-73.93907683257187
39249,425,1.0,197.0,159.53615732259848,0.31905219475544766,BROOKVILLE BOULEVARD & BROOKVILLE PARK GREENWAY & SOUTH CONDUIT AVENUE,40.665256021062625,-73.73954958291942
44192,422,1.0,157.0,159.3276222397851,0.3186351089711336,EAST 174 STREET & FEATHERBED LANE & JEROME AVENUE & JEROME AVENUE LINE,40.8454294303716,-73.91397534915373
105118,239,0.0,120.0,159.29881371395928,0.318577489761805,BELT PARKWAY & DISTRICT BOUNDARY,40.66553353086082,-73.74481536152447
22813,432,2.0,129.0,158.91872298158043,0.3178172798293276,2 AVENUE & 2 AVENUE LINE & EAST 58 STREET,40.75998213868682,-73.96480079489702
22816,591,0.0,85.0,158.91356116838256,0.3178069558163267,2 AVENUE & 2 AVENUE LINE & ASTORIA LINE & EAST 60 STREET & QUEENSBORO BRIDGE EXIT,40.76123328590516,-73.96388310413907
26204,276,1.0,218.0,158.8130472402441,0.3176059204318411,CLARENDON ROAD & UTICA AVENUE,40.64443271913091,-73.92959986352368
41454,512,2.0,197.0,158.70509331734468,0.31739000450059907,BIKE PATH & FLUSHING LINE & QUEENS BOULEVARD & SKILLMAN AVENUE,40.74603455699163,-73.934399873219
36317,274,1.0,97.0,158.6955186746905,0.3173708544981771,150 STREET & NORTH CONDUIT AVENUE,40.66684115838772,-73.78940999472195
9065302,195,0.0,169.0,158.45779451723348,0.31689538837839676,BRONX RIVER PARKWAY EXIT 9 NB & BRONX RIVER SHORELINE,40.87634503946716,-73.87055387209361
32432,451,0.0,175.0,158.4189094819328,0.3168176153954163,MYRTLE AVENUE & WOODHAVEN BOULEVARD,40.70259550034175,-73.85529275912725
21409,745,0.0,139.0,158.33622189474332,0.3166522340279712,8 AVENUE & 8 AVENUE LINE & WEST 42 STREET,40.75723313094911,-73.98979085328416
26224,242,0.0,153.0,157.19635228686724,0.31437240943921274,LENOX ROAD & UTICA AVENUE,40.65533560921355,-73.93076711625883
