NODEID,crash_count,total_killed,total_injured,severity_score,severity_score_norm,intersection_name,latitude,longitude
38808,287,1.0,120.0,122.5326136008589,0.253229914506688,SOUTH CONDUIT AVENUE & SPRINGFIELD BOULEVARD,40.66563609518348,-73.7581597175848
22915,485,0.0,98.0,122.41516968898705,0.25298716870016963,1 AVENUE & EAST 62 STREET,40.76148424474122,-73.96060005054444
26530,225,1.0,115.0,122.24269732417449,0.25263068412271245,EAST 80 STREET & FLATLANDS AVENUE,40.63550791493396,-73.91327790541874
28911,252,1.0,129.0,122.19634573628815,0.25253487963693244,PENNSYLVANIA AVENUE & STANLEY AVENUE,40.65697972132111,-73.88941668615539
29345,285,0.0,130.0,122.17298188930062,0.2524865887056277,LIVONIA AVENUE & NEW LOTS LINE & PENNSYLVANIA AVENUE,40.66475152193747,-73.89404244746001
21147,370,0.0,91.0,122.07688270396032,0.252287960493408,11 AVENUE & AMTRAK-NORTHEAST LINE & FLUSHING LINE & WEST 34 STREET,40.75578071315258,-74.00198479594734
38902,216,0.0,126.0,122.02973734264445,0.25219051535066866,225 STREET & SOUTH CONDUIT AVENUE,40.66548781263988,-73.75234844426686
45135,277,0.0,116.0,121.81697008180365,0.25175074491463395,MAURICE AVENUE & QUEENS MIDTOWN EXPRESSWAY,40.72773199212887,-73.90673018509199
36808,325,0.0,106.0,121.62413702630433,0.2513521766548193,FARMERS BOULEVARD & NORTH CONDUIT AVENUE,40.667432216211914,-73.76675432353159
44082,180,0.0,123.0,121.6080260283968,0.2513188766981119,CONCOURSE LINE & EAST 169 STREET & GRAND CONCOURSE,40.83639305473448,-73.91587050289263
17929,207,1.0,109.0,121.59926095392689,0.2513007600921723,DITMAS AVENUE & OCEAN PARKWAY,40.636133791298086,-73.97273463340386
89273,301,0.0,76.0,120.69635432740583,0.24943453481261246,2010 CB BOUNDARY & FRANKLIN D ROOSEVELT DRIVE,40.76126062082014,-73.95573106078487
9031028,171,1.0,89.0,120.62185507531404,0.24928055168359536,BRUCKNER EXPRESSWAY & PELHAM PARKWAY GREENWAY,40.856375803722074,-73.82630301228215
